dataset,filename,method,niqe
sots_o,0084_0.95_0.16.png,dcp,19.306706
sots_o,0084_0.95_0.16.png,aodnet,19.639789
sots_o,0085_0.95_0.08.png,original,20.406592
sots_o,0085_0.95_0.08.png,dcp,20.073978
sots_o,0085_0.95_0.08.png,aodnet,20.659085
sots_o,0086_0.8_0.2.png,original,20.281685
sots_o,0086_0.8_0.2.png,dcp,19.929968
sots_o,0086_0.8_0.2.png,aodnet,20.583119
sots_o,0086_0.95_0.12.png,original,20.006949
sots_o,0086_0.95_0.12.png,dcp,19.653812
sots_o,0086_0.95_0.12.png,aodnet,20.312415
sots_o,0087_0.9_0.16.png,original,20.135292
sots_o,0087_0.9_0.16.png,dcp,19.567954
sots_o,0087_0.9_0.16.png,aodnet,20.028120
sots_o,0088_0.9_0.12.png,original,20.960277
sots_o,0088_0.9_0.12.png,dcp,21.010959
sots_o,0088_0.9_0.12.png,aodnet,21.088147
sots_o,0089_0.9_0.2.png,original,20.749405
sots_o,0089_0.9_0.2.png,dcp,20.112611
sots_o,0089_0.9_0.2.png,aodnet,20.545133
sots_o,0090_0.85_0.12.png,original,20.882940
sots_o,0090_0.85_0.12.png,dcp,20.755486
sots_o,0090_0.85_0.12.png,aodnet,21.117075
sots_o,0091_0.85_0.2.png,original,20.240358
sots_o,0091_0.85_0.2.png,dcp,19.860113
sots_o,0091_0.85_0.2.png,aodnet,20.224625
sots_o,0092_0.85_0.2.png,original,19.696458
sots_o,0092_0.85_0.2.png,dcp,19.086567
sots_o,0092_0.85_0.2.png,aodnet,19.606780
sots_o,0093_0.8_0.08.png,original,20.328424
sots_o,0093_0.8_0.08.png,dcp,20.240020
sots_o,0093_0.8_0.08.png,aodnet,20.480499
sots_o,0094_0.8_0.2.png,original,20.599888
sots_o,0094_0.8_0.2.png,dcp,20.100121
sots_o,0094_0.8_0.2.png,aodnet,20.519773
sots_o,0095_0.8_0.08.png,original,20.529154
sots_o,0095_0.8_0.08.png,dcp,20.328400
sots_o,0095_0.8_0.08.png,aodnet,20.731612
sots_o,0096_0.8_0.2.png,original,20.252121
sots_o,0096_0.8_0.2.png,dcp,20.002114
sots_o,0096_0.8_0.2.png,aodnet,20.534412
sots_o,0097_0.85_0.08.png,original,20.473038
sots_o,0097_0.85_0.08.png,dcp,20.201621
sots_o,0097_0.85_0.08.png,aodnet,20.488487
sots_o,0098_0.85_0.2.png,original,20.055011
sots_o,0098_0.85_0.2.png,dcp,19.679832
sots_o,0098_0.85_0.2.png,aodnet,20.149296
sots_o,0099_0.9_0.16.png,original,19.483647
sots_o,0099_0.9_0.16.png,dcp,18.707841
sots_o,0099_0.9_0.16.png,aodnet,19.441804
sots_o,0100_0.9_0.12.png,original,20.907827
sots_o,0100_0.9_0.12.png,dcp,20.787840
sots_o,0100_0.9_0.12.png,aodnet,21.040597
